"Age"	"Geo"	"Year"	"Rate"
"Age 25-34"	"Midwest"	2010	18
"Age 25-34"	"Midwest"	2011	17
"Age 25-34"	"Midwest"	2012	18
"Age 25-34"	"Midwest"	2013	17
"Age 25-34"	"Midwest"	2014	18
"Age 25-34"	"Midwest"	2015	19
"Age 25-34"	"Midwest"	2016	19
"Age 25-34"	"Midwest"	2017	20
"Age 25-34"	"Midwest"	2018	20
"Age 25-34"	"Midwest"	2019	19
"Age 25-34"	"Midwest"	2020	17
"Age 25-34"	"Northeast"	2008	32
"Age 25-34"	"Northeast"	2009	30
"Age 25-34"	"Northeast"	2010	29
"Age 25-34"	"Northeast"	2011	28
"Age 25-34"	"Northeast"	2012	29
"Age 25-34"	"Northeast"	2013	27
"Age 25-34"	"Northeast"	2014	27
"Age 25-34"	"Northeast"	2015	27
"Age 25-34"	"Northeast"	2016	28
"Age 25-34"	"Northeast"	2017	26
"Age 25-34"	"Northeast"	2018	24
"Age 25-34"	"Northeast"	2019	25
"Age 25-34"	"Northeast"	2020	20
"Age 25-34"	"South"	2008	40
"Age 25-34"	"South"	2009	38
"Age 25-34"	"South"	2010	37
"Age 25-34"	"South"	2011	36
"Age 25-34"	"South"	2012	36
"Age 25-34"	"South"	2013	37
"Age 25-34"	"South"	2014	38
"Age 25-34"	"South"	2015	40
"Age 25-34"	"South"	2016	41
"Age 25-34"	"South"	2017	40
"Age 25-34"	"South"	2018	40
"Age 25-34"	"South"	2019	38
"Age 25-34"	"South"	2020	32
"Age 25-34"	"United States"	2008	30.6
"Age 25-34"	"United States"	2009	28.9
"Age 25-34"	"United States"	2010	28.4
"Age 25-34"	"United States"	2011	27.5
"Age 25-34"	"United States"	2012	27.9
"Age 25-34"	"United States"	2013	27.6
"Age 25-34"	"United States"	2014	29
"Age 25-34"	"United States"	2015	29.6
"Age 25-34"	"United States"	2016	30.4
"Age 25-34"	"United States"	2017	29.6
"Age 25-34"	"United States"	2018	29.3
"Age 25-34"	"United States"	2019	28.4
"Age 25-34"	"United States"	2020	24.4
"Age 25-34"	"West"	2008	25
"Age 25-34"	"West"	2009	24
"Age 25-34"	"West"	2010	23
"Age 25-34"	"West"	2011	22
"Age 25-34"	"West"	2012	23
"Age 25-34"	"West"	2013	22
"Age 25-34"	"West"	2014	24
"Age 25-34"	"West"	2015	24
"Age 25-34"	"West"	2016	25
"Age 25-34"	"West"	2017	24
"Age 25-34"	"West"	2018	24
"Age 25-34"	"West"	2019	23
"Age 25-34"	"West"	2020	21
"Age 35-44"	"Midwest"	2008	16
"Age 35-44"	"Midwest"	2009	15
"Age 35-44"	"Midwest"	2010	14
"Age 35-44"	"Midwest"	2011	13
"Age 35-44"	"Midwest"	2012	12
"Age 35-44"	"Midwest"	2013	11
"Age 35-44"	"Midwest"	2014	11
"Age 35-44"	"Midwest"	2015	12
"Age 35-44"	"Midwest"	2016	11
"Age 35-44"	"Midwest"	2017	11
"Age 35-44"	"Midwest"	2018	11
"Age 35-44"	"Midwest"	2019	11
"Age 35-44"	"Midwest"	2020	9
"Age 35-44"	"Northeast"	2008	31
"Age 35-44"	"Northeast"	2009	29
"Age 35-44"	"Northeast"	2010	27
"Age 35-44"	"Northeast"	2011	24
"Age 35-44"	"Northeast"	2012	22
"Age 35-44"	"Northeast"	2013	20
"Age 35-44"	"Northeast"	2014	21
"Age 35-44"	"Northeast"	2015	18
"Age 35-44"	"Northeast"	2016	18
"Age 35-44"	"Northeast"	2017	17
"Age 35-44"	"Northeast"	2018	16
"Age 35-44"	"Northeast"	2019	15
"Age 35-44"	"Northeast"	2020	12
"Age 35-44"	"South"	2008	40
"Age 35-44"	"South"	2009	36
"Age 35-44"	"South"	2010	32
"Age 35-44"	"South"	2011	29
"Age 35-44"	"South"	2012	27
"Age 35-44"	"South"	2013	25
"Age 35-44"	"South"	2014	25
"Age 35-44"	"South"	2015	25
"Age 35-44"	"South"	2016	24
"Age 35-44"	"South"	2017	23
"Age 35-44"	"South"	2018	23
"Age 35-44"	"South"	2019	23
"Age 35-44"	"South"	2020	19
"Age 35-44"	"United States"	2008	29.9
"Age 35-44"	"United States"	2009	27.5
"Age 35-44"	"United States"	2010	24.8
"Age 35-44"	"United States"	2011	22.5
"Age 35-44"	"United States"	2012	21
"Age 35-44"	"United States"	2013	19.5
"Age 35-44"	"United States"	2014	19.8
"Age 35-44"	"United States"	2015	18.9
"Age 35-44"	"United States"	2016	18.5
"Age 35-44"	"United States"	2017	17.8
"Age 35-44"	"United States"	2018	17.4
"Age 35-44"	"United States"	2019	17.1
"Age 35-44"	"United States"	2020	14.1
"Age 35-44"	"West"	2008	25
"Age 35-44"	"West"	2009	22
"Age 35-44"	"West"	2010	20
"Age 35-44"	"West"	2011	19
"Age 35-44"	"West"	2012	18
"Age 35-44"	"West"	2013	17
"Age 35-44"	"West"	2014	17
"Age 35-44"	"West"	2015	16
"Age 35-44"	"West"	2016	16
"Age 35-44"	"West"	2017	15
"Age 35-44"	"West"	2018	15
"Age 35-44"	"West"	2019	15
"Age 35-44"	"West"	2020	13
"Age 45-54"	"Midwest"	2008	10
"Age 45-54"	"Midwest"	2009	9
"Age 45-54"	"Midwest"	2010	9
"Age 45-54"	"Midwest"	2011	9
"Age 45-54"	"Midwest"	2012	9
"Age 45-54"	"Midwest"	2013	9
"Age 45-54"	"Midwest"	2014	8
"Age 45-54"	"Midwest"	2015	8
"Age 45-54"	"Midwest"	2016	8
"Age 45-54"	"Midwest"	2017	8
"Age 45-54"	"Midwest"	2018	8
"Age 45-54"	"Midwest"	2019	7
"Age 45-54"	"Midwest"	2020	6
"Age 45-54"	"Northeast"	2008	23
"Age 45-54"	"Northeast"	2009	21
"Age 45-54"	"Northeast"	2010	20
"Age 45-54"	"Northeast"	2011	18
"Age 45-54"	"Northeast"	2012	18
"Age 45-54"	"Northeast"	2013	16
"Age 45-54"	"Northeast"	2014	16
"Age 45-54"	"Northeast"	2015	14
"Age 45-54"	"Northeast"	2016	13
"Age 45-54"	"Northeast"	2017	12
"Age 45-54"	"Northeast"	2018	12
"Age 45-54"	"Northeast"	2019	10
"Age 45-54"	"Northeast"	2020	9
"Age 45-54"	"South"	2008	31
"Age 45-54"	"South"	2009	27
"Age 45-54"	"South"	2010	25
"Age 45-54"	"South"	2011	24
"Age 45-54"	"South"	2012	22
"Age 45-54"	"South"	2013	21
"Age 45-54"	"South"	2014	20
"Age 45-54"	"South"	2015	19
"Age 45-54"	"South"	2016	18
"Age 45-54"	"South"	2017	17
"Age 45-54"	"South"	2018	17
"Age 45-54"	"South"	2019	16
"Age 45-54"	"South"	2020	13
"Age 45-54"	"United States"	2008	21.3
"Age 45-54"	"United States"	2009	19.5
"Age 45-54"	"United States"	2010	18.3
"Age 45-54"	"United States"	2011	17.5
"Age 45-54"	"United States"	2012	16.8
"Age 45-54"	"United States"	2013	15.8
"Age 45-54"	"United States"	2014	15
"Age 45-54"	"United States"	2015	14.7
"Age 45-54"	"United States"	2016	13.9
"Age 45-54"	"United States"	2017	13.3
"Age 45-54"	"United States"	2018	12.7
"Age 45-54"	"United States"	2019	12
"Age 45-54"	"United States"	2020	9.8
"Age 45-54"	"West"	2008	16
"Age 45-54"	"West"	2009	15
"Age 45-54"	"West"	2010	15
"Age 45-54"	"West"	2011	14
"Age 45-54"	"West"	2012	14
"Age 45-54"	"West"	2013	13
"Age 45-54"	"West"	2014	13
"Age 45-54"	"West"	2015	13
"Age 45-54"	"West"	2016	12
"Age 45-54"	"West"	2017	12
"Age 45-54"	"West"	2018	11
"Age 45-54"	"West"	2019	11
"Age 45-54"	"West"	2020	9
"Age 55+"	"Midwest"	2008	2
"Age 55+"	"Midwest"	2009	2
"Age 55+"	"Midwest"	2010	2
"Age 55+"	"Midwest"	2011	2
"Age 55+"	"Midwest"	2012	2
"Age 55+"	"Midwest"	2013	3
"Age 55+"	"Midwest"	2014	2
"Age 55+"	"Midwest"	2015	2
"Age 55+"	"Midwest"	2016	2
"Age 55+"	"Midwest"	2017	2
"Age 55+"	"Midwest"	2018	2
"Age 55+"	"Midwest"	2019	2
"Age 55+"	"Midwest"	2020	2
"Age 55+"	"Northeast"	2008	7
"Age 55+"	"Northeast"	2009	6
"Age 55+"	"Northeast"	2010	6
"Age 55+"	"Northeast"	2011	5
"Age 55+"	"Northeast"	2012	5
"Age 55+"	"Northeast"	2013	5
"Age 55+"	"Northeast"	2014	5
"Age 55+"	"Northeast"	2015	5
"Age 55+"	"Northeast"	2016	4
"Age 55+"	"Northeast"	2017	4
"Age 55+"	"Northeast"	2018	4
"Age 55+"	"Northeast"	2019	4
"Age 55+"	"Northeast"	2020	3
"Age 55+"	"South"	2008	8
"Age 55+"	"South"	2009	7
"Age 55+"	"South"	2010	7
"Age 55+"	"South"	2011	7
"Age 55+"	"South"	2012	6
"Age 55+"	"South"	2013	6
"Age 55+"	"South"	2014	6
"Age 55+"	"South"	2015	6
"Age 55+"	"South"	2016	6
"Age 55+"	"South"	2017	6
"Age 55+"	"South"	2018	5
"Age 55+"	"South"	2019	6
"Age 55+"	"South"	2020	4
"Age 55+"	"United States"	2008	5.8
"Age 55+"	"United States"	2009	5.3
"Age 55+"	"United States"	2010	5.1
"Age 55+"	"United States"	2011	4.8
"Age 55+"	"United States"	2012	4.6
"Age 55+"	"United States"	2013	4.7
"Age 55+"	"United States"	2014	4.4
"Age 55+"	"United States"	2015	4.2
"Age 55+"	"United States"	2016	4.3
"Age 55+"	"United States"	2017	4.2
"Age 55+"	"United States"	2018	4
"Age 55+"	"United States"	2019	4
"Age 55+"	"United States"	2020	3.2
"Age 55+"	"West"	2008	4
"Age 55+"	"West"	2009	4
"Age 55+"	"West"	2010	4
"Age 55+"	"West"	2011	4
"Age 55+"	"West"	2012	3
"Age 55+"	"West"	2013	3
"Age 55+"	"West"	2014	3
"Age 55+"	"West"	2015	3
"Age 55+"	"West"	2016	3
"Age 55+"	"West"	2017	3
"Age 55+"	"West"	2018	3
"Age 55+"	"West"	2019	3
"Age 55+"	"West"	2020	3
